label,text,n_tokens,kannada_script_pct,romanized_kannada_pct,kannada_language_pct,english_pct,effective_score,low_confidence,bucket
Negative,Sir nivu news helida hage heltiri sir,7,0.0,0.5714,0.5714,0.4286,0.8571,False,high
Positive,Ashwathama. Vadhukkidhe.evathu. video. Nodithunanu. Jai. Babaji,6,0.0,0.5,0.5,0.5,1.0,True,high
Negative,Sir nivu bare swalpa sulu heleteraa,6,0.0,0.6667,0.6667,0.3333,0.6667,False,high
unknown state,In udupi sir,3,0.0,0.3333,0.3333,0.6667,0.6667,True,high
Negative,Yenri sullu heltira fake fake fake fake fake,8,0.0,0.375,0.375,0.625,0.75,False,high
Positive,Anna sumne video madedhya nodu,5,0.0,0.6,0.6,0.4,0.8,False,high
Negative,Nam mane gu bandida,4,0.0,0.5,0.5,0.5,1.0,False,high
Positive,Enu investigation nedithidya  ashwattama idara OMG nomboke agtilla devre ashwattama nija  vaglu idre it is unbelievable God please a doctor ega idre investigation Madi and a yavudho hasiru guhe andharela Ali hogi nodi inu pooje madthidhara and mate avru sikidra yarigadharu please information Kodi and good job nanna devaru Channel,50,0.0,0.6136,0.6136,0.3864,0.7727,False,high
Negative,Guru e badyav heltirod bari sulu,6,0.0,0.6667,0.6667,0.3333,0.6667,False,high
Positive,Nav avnaa meet agboda sir?,5,0.0,0.6,0.6,0.4,0.8,False,high
Negative,Bari ante kante Gale agoytu. Enadru solid proof torsri avar edare annoke.,12,0.0,0.7,0.7,0.3,0.6,False,high
Negative,420 nan maga krishana,4,0.0,0.6667,0.6667,0.3333,0.6667,True,high
Mixed feelings,Aadu nane broo... Soul naa Replacement maddee... Bere body gee.. Antha aansthidee,12,0.0,0.6667,0.6667,0.3333,0.6667,False,high
Positive,Avnige ella language matadoke barutta,5,0.0,0.6,0.6,0.4,0.8,False,high
Negative,ha nam manegu bandiida ...,5,0.0,0.5,0.5,0.5,1.0,False,high
Positive,Super namboke kasta agirbodu but really agirbodu,7,0.0,0.5714,0.5714,0.4286,0.8571,False,high
Negative,Kannada ne barolla,3,0.0,0.3333,0.3333,0.6667,0.6667,True,high
Positive,Adu igala 1960 ali nadedidu doctor incident,7,0.0,0.5,0.5,0.5,1.0,False,high
Positive,Nama village ge bandidru,4,0.0,0.5,0.5,0.5,1.0,False,high
Negative,No way chance illa  ivaga elli edane proof kodi  nambteevi,10,0.0,0.6,0.6,0.4,0.8,False,high
Positive,Sir avrudu bhashe yavdu a doctor bali yav bhashe matanadid ?,11,0.0,0.6,0.6,0.4,0.8,False,high
Negative,Illa guru.. Ashwatama na.. Bhaashe ivrige. Barutte ansutte....,8,0.0,0.5,0.5,0.5,1.0,False,high
Mixed feelings,Prajakeeyada bagge videos madi please,5,0.0,0.6,0.6,0.4,0.8,False,high
unknown state,Hinene sariyagide sir,3,0.0,0.6667,0.6667,0.3333,0.6667,True,high
Negative,First India na America ke compare madtidru alli hangide ingide anta ivaga. India na China compare madtavre nnNav bari compare madtivi vartu namunyaru compare modo hage hogalla,27,0.0,0.6957,0.6957,0.3043,0.6087,False,high
Negative,Worst = Raaja-kiyanBest = prajaa-kiya,5,0.0,0.6667,0.6667,0.3333,0.6667,True,high
unknown state,Amar Prasad .com,3,0.0,0.5,0.5,0.5,1.0,True,high
Mixed feelings,Modi idare don't worry,4,0.0,0.5,0.5,0.5,1.0,False,high
Negative,Sir solla video time kadime madi,6,0.0,0.5,0.5,0.5,1.0,False,high
Negative,Sir mate communist best antiria nDemocracy li rajakarnigalu kithadtare,9,0.0,0.4444,0.4444,0.5556,0.8889,False,high
unknown state,@Sai Kumar may be,4,0.0,0.3333,0.3333,0.6667,0.6667,True,high
Negative,RSS avaru thumba danger. Avara bhagge ondu episode maadi sir,10,0.0,0.6667,0.6667,0.3333,0.6667,False,high
Negative,USA brand but aduna produce madoke USA ali skilled labour ilvala aduke china davru madtarennApple mobile togondru china ke income hogute,21,0.0,0.5,0.5,0.5,1.0,False,high
unknown state,Agadre no 3 yaru,4,0.0,0.6667,0.6667,0.3333,0.6667,True,high
Negative,@Usha Rao modlu caste system hogbeku inter caste marriage hecchige agbeku...yavag caste hogutto avage reservation hogutte..ella kade nim caste yavudu anta kelore hecchidare..bekabitti illi yaru tinutilla adu hakkide...ella 75%india du property obbare caste hattir ide adu tamugu gottu.,38,0.0,0.6765,0.6765,0.3235,0.6471,False,high
Negative,@Unity of India nam deshadalli poor people heecchide..yakandre caste system saluvagi avar hattir property hecchide karan avaru hinde caste system mele janagalannu looti madi tamma property hecchu madkondidare adre belove caste ge astu property iralla so adar saluvagi avaru yavaglu badadvarage ulitidare yavag nam sampattu samanavagi hanchuttivo avage desha develop agodu,51,0.0,0.64,0.64,0.36,0.72,False,high
Mixed feelings,@its my opinion ಬಹಳ ಧನ್ಯವಾದಗಳು.....,5,0.4,0.0,0.4,0.6,0.8,False,high
Negative,@Dayananda C lol judge ge lancha kottu jailge hogi bandirorna CM madiroru 420 BJP,14,0.0,0.6364,0.6364,0.3636,0.7273,False,high
Negative,@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala,26,0.0,0.5217,0.5217,0.4783,0.9565,False,high
Positive,India kudda Munde baruthe But late....navella Odmele,7,0.0,0.6667,0.6667,0.3333,0.6667,True,high
Positive,Guru China rajakiya vyavaste bagge video madi,7,0.0,0.6667,0.6667,0.3333,0.6667,False,high
Negative,Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,31,0.0,0.5667,0.5667,0.4333,0.8667,False,high
Positive,Kerala antha helbedi bro. Adu kuda jathi na nodutte. Agi hechagi nodutte nan sutta muttalina example nalli heltha idini... I have many Malli frnds so,25,0.0,0.619,0.619,0.381,0.7619,False,high
unknown state,S ur ryt,3,0.0,0.3333,0.3333,0.6667,0.6667,True,high
Mixed feelings,@s s Islam ಎಲ್ಲ ದೇಶಗಳಿಗೂ ಮಾರಕ .,7,0.6,0.0,0.6,0.4,0.8,False,high
Positive,Super brother.           Rajakiya laba yenidide    ano yochane,7,0.0,0.6667,0.6667,0.3333,0.6667,False,high
Mixed feelings,Copy maadidre case agalva?,4,0.0,0.5,0.5,0.5,1.0,False,high
Mixed feelings,Communist government better enu hagadare,5,0.0,0.4,0.4,0.6,0.8,False,high
Negative,Guru ee desha uddhara agalla bedu bhai indian youth waste bedu,11,0.0,0.6364,0.6364,0.3636,0.7273,False,high
Positive,Sir nam deshadalli political sari erbeku jati beda elde balbeku avaga devolop agbhdu,13,0.0,0.6923,0.6923,0.3077,0.6154,False,high
Positive,RS haadugalella haagene bro,4,0.0,0.5,0.5,0.5,1.0,False,high
Negative,Hands up anno pada ide alva 🤔,7,0.0,0.3333,0.3333,0.6667,0.6667,False,high
Mixed feelings,En helde bro,3,0.0,0.6667,0.6667,0.3333,0.6667,True,high
