label,text,n_tokens,kannada_script_pct,romanized_kannada_pct,kannada_language_pct,english_pct,effective_score,low_confidence,bucket
unknown state,Idu riyel rar,3,0.0,1.0,1.0,0.0,0.0,True,low
Negative,ಕಥೆ ಅರ್ದ ಅಗಿದೆ.ಅಶ್ವತ್ತಾಮ ತನ್ಣಗಾಯಗೊಂಡ ದೇಹವನ್ನು ಗುಣಪಡಿಸಿದ್ದು ಕಲ್ಲಡ್ಕ ಪ್ರಭಾಕರ್ ಭಟ್.ನಂತರ ಅಶ್ವತ್ತಸಮ ತನ್ನ ಹೆಸರು ಬದಲಾಯಿಸಿ .ನರೇಂದ್ರ ದಾಮೋದರ ಮೊಲದಿ ಎಂಬ ಹೆಸರಿನಿಂದ ಬಾರತದ ಪ್ರದಾನಿಯಾಗಿ    ಅತನ ಅನುಯಾಯಿಗಳೇ ಮೋದಿ ಭಕ್ತರೆಂಬ ಕೌರವರು ಇವಾಗ ಮುಸ್ಲಿಂ ಎಂಬ ಪಾಂಡವರ ವಿರುದ್ದ ಕುತಂತ್ರ ಯುದ್ದ ಮಾಡುತ್ತದ್ದಾರೆ..,33,1.0,0.0,1.0,0.0,0.0,False,low
Mixed feelings,ಕಥೆ ಸರಿಯಾಗಿ ತಿಳಿದುಕೊಳ್ಳಿ..... please don't worng guide..... ಅಶ್ವತ್ತಾಮ ಶಿವನ ಅವತಾರ.... ಇಂದ್ರನಲ್ಲಿ ಸುಳ್ಳು ಹೇಳಿದಕ್ಕಾಗಿ ಭೂಮಿಯಲ್ಲಿ ದೀರ್ಘ ಕಾಲಿ ಯಾಗಿ ಅವತಾರಿಡಿದರು ಅಷ್ಟೇ...... ಕೃಷ್ಣ ಅವರಿಗೆ ಶಪಿಸಲಿಲ್ಲ,22,0.8571,0.0476,0.9048,0.0952,0.1905,False,low
Negative,ಹೌದು ಹೌದು ನಿನ್ನೆ ನಮ್ಮನಿಗೂ ಬಂದಿದ........ ಚಾ ಕುಡ್ಕಾ ಹೊದ,8,1.0,0.0,1.0,0.0,0.0,False,low
Negative,ಕತೆ ಕತೆಯಾಗಿ ಇರುತ್ತೆ ಇದನ್ನು ನಂಬಲು ಅಸಾದ್ಯ,6,1.0,0.0,1.0,0.0,0.0,False,low
unknown state,ಗುರು ಅಶ್ವತ್ಥಾಮ ಯಾವ ಬಾಷೇ ಮಾತಾಡ್ತಿದ್ದ ಅಂಥ ಹೇಳಿ ನಿಮಗೂ ಗೊತ್ತಿಲ್ಲ ಅಂದ್ರೆ ಆ ಡಾಕ್ಟರ್ ಅನ್ನು ಕೇಳಿ ತಿಳ್ಕೊಂಡು ಹೇಳಿ ನಮ್ಮ ಕನ್ನಡ ವಾದ್ರೆ ತೊಂಬ ಸಂತೋಷ ವಾಗುತ್ತೆ ಅಲ್ವಾ,23,1.0,0.0,1.0,0.0,0.0,False,low
Negative,Nimge istu sullu heloke Hege manasu barutte,7,0.0,1.0,1.0,0.0,0.0,False,low
Positive,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ,9,1.0,0.0,1.0,0.0,0.0,False,low
unknown state,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,19,1.0,0.0,1.0,0.0,0.0,False,low
Negative,ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠,3,1.0,0.0,1.0,0.0,0.0,True,low
Negative,Loo baccha koura holle avaru,5,0.0,1.0,1.0,0.0,0.0,False,low
unknown state,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,3,1.0,0.0,1.0,0.0,0.0,True,low
unknown state,ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ,5,1.0,0.0,1.0,0.0,0.0,False,low
Positive,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ  ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,11,1.0,0.0,1.0,0.0,0.0,False,low
unknown state,Raktha rathri yakshagana nodi maryare,5,0.0,1.0,1.0,0.0,0.0,False,low
Mixed feelings,Drona pandavara para iddre ivneke kouravara para iddana.????,8,0.0,1.0,1.0,0.0,0.0,False,low
Positive,ಇದು ನಿಜಾನಾ ಗುರುವೇ,3,1.0,0.0,1.0,0.0,0.0,True,low
Mixed feelings,Nimge henge gotthu neevu en alle idra,7,0.0,1.0,1.0,0.0,0.0,False,low
Positive,Super sir,2,0.0,0.0,0.0,1.0,0.0,True,low
Positive,Nav evna nodabahuda,3,0.0,1.0,1.0,0.0,0.0,True,low
Positive,ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ,7,1.0,0.0,1.0,0.0,0.0,False,low
Negative,@ಜೈ ಭಜರಂಗಿ##ವಿಶ್ವ avaru..dronara maga..,4,0.5,0.5,1.0,0.0,0.0,False,low
Mixed feelings,ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ,3,1.0,0.0,1.0,0.0,0.0,True,low
Positive,Devaru annonu idaane Andre avru shaapa kottidddu nijaane aagidre avru idde iruttaare elllooo ondu jaagadallli manushyara kannige kaanollla aste jaiii Sri Krishna,22,0.0,1.0,1.0,0.0,0.0,False,low
not-Kannada,May be sanskrit,3,0.0,0.0,0.0,1.0,0.0,True,low
not-Kannada,How can u say,4,0.0,0.0,0.0,1.0,0.0,False,low
Negative,En kathe kattutiya guru🤣🤣🤣🤣..... . Proof kodu sullu kathe katbeda,10,0.0,1.0,1.0,0.0,0.0,False,low
