label,text,n_tokens,kannada_script_pct,romanized_kannada_pct,kannada_language_pct,english_pct,effective_score,low_confidence,bucket
Negative,Bari olu nan makla,4,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I,21,0.0,0.8667,0.8667,0.1333,0.2667,False,medium
Negative,Nan lwda dalli edane band nodkondu ogo gandu,8,0.0,0.75,0.75,0.25,0.5,False,medium
unknown state,Yes edre adare yli?,4,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,Avanu allla bro avaru annabeku,5,0.0,0.75,0.75,0.25,0.5,False,medium
Mixed feelings,Avanige gaya vasi agbeku andre..avnu krishna na bhakti madi..vasi madbeku eela Kaliyuga nasa agbeku,14,0.0,0.7692,0.7692,0.2308,0.4615,False,medium
Positive,Uttara pradeshada lakkinpura dalli shiva pooje madtidda,7,0.0,0.8571,0.8571,0.1429,0.2857,False,medium
Positive,Namma manege bandidru avarige nanu nan dress kottu aliside,9,0.0,0.7778,0.7778,0.2222,0.4444,False,medium
Positive,Nija kano adhu...neevgalu kathe katkondirodu...alla alla antha....,7,0.0,0.75,0.75,0.25,0.5,False,medium
Mixed feelings,Nija 100%  but aswastama antta heg  kandiditare..,7,0.0,0.8333,0.8333,0.1667,0.3333,False,medium
Mixed feelings,Nane nam vasthu pradashnke bandidru gotha,6,0.0,0.8333,0.8333,0.1667,0.3333,False,medium
Positive,Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir,18,0.8889,0.0,0.8889,0.1111,0.2222,False,medium
Negative,All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz,17,0.0,0.75,0.75,0.25,0.5,False,medium
Negative,Ramayana agiye 500 varsha ayeetu indu sullu yakandre 5000yer back hege,11,0.0,0.7778,0.7778,0.2222,0.4444,False,medium
Negative,Navu kuri Alla guru kaliyugada kaligallu,6,0.0,0.8,0.8,0.2,0.4,False,medium
Negative,Le nimmouna thullagaa naayi tunni saabarige huttida MidArimagane,8,0.0,0.875,0.875,0.125,0.25,False,medium
Positive,Btv avra hatra video clip irbodu.... ಇದ್ರೆ ಹಾಕಿ plzz,9,0.25,0.5,0.75,0.25,0.5,False,medium
Positive,Ayo mostly avarige samskruti bhase barutee ansathe,7,0.0,0.8571,0.8571,0.1429,0.2857,False,medium
Positive,Avnu yava language mathadodu,4,0.0,0.75,0.75,0.25,0.5,False,medium
not-Kannada,This real jai krishna krishna,5,0.0,0.2,0.2,0.8,0.4,False,medium
Mixed feelings,Ashwatama ge Kannada barutte yenri,5,0.0,0.75,0.75,0.25,0.5,False,medium
Negative,@Akki MAnna summan namana huchhar olage tagyatara,7,0.0,0.8571,0.8571,0.1429,0.2857,False,medium
not-Kannada,@Sagar sagar  s u r correct bro..,7,0.0,0.2857,0.2857,0.7143,0.5714,False,medium
Mixed feelings,Ashwatama ge Hindi barutte yenri,5,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,ತನ್ನ ಉತ್ತಮ ಗುಣಮಟ್ಟವನ್ನು ಸಾಬೀತು ಮಾಡುತ್ತಾ ಮುಂದೆ ಸಾಗುತ್ತಿದೆ... We love you  #ಮಸ್ತಮಗಾ team🤩,12,0.7273,0.0,0.7273,0.2727,0.5455,False,medium
Positive,Sir eega navu uthpadane madidanna vedeshakee yavareeti procedure mulaka kalstatee.yavdee lancha eladee.,12,0.0,0.8333,0.8333,0.1667,0.3333,False,medium
Mixed feelings,Sir ee varshada sikshanada bagge tilisi,6,0.0,0.8333,0.8333,0.1667,0.3333,False,medium
Mixed feelings,Gurve egle Google nali search madu,6,0.0,0.8,0.8,0.2,0.4,False,medium
Negative,E video nodi Namma desha e stiti nodi bejar aytu nBangarada akki agidda bharatakke e paristi barabaradittu,17,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,@pruthvisagar sagar but create hindi muslim divide,7,0.0,0.2857,0.2857,0.7143,0.5714,False,medium
Negative,Bharatadalli Experience kelidre en madodu? Nav hosa kelsa madoke ready idivi,11,0.0,0.8889,0.8889,0.1111,0.2222,False,medium
Negative,@sumya kulkarni ನೀವು ಬ್ರಾಹ್ಮಣರಾಗಿ intercast marriage agoke dairya idena ? Never.,11,0.2222,0.6667,0.8889,0.1111,0.2222,False,medium
Negative,@Unity of India ...ಅಂತರ್ ಜಾತಿ ವಿವಾಹಕ್ಕು...... ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ......ದೇಶ ಉದ್ದಾರಕ್ಕೂ ಸಂಬಂಧವಿಲ್ಲ......,10,0.7778,0.0,0.7778,0.2222,0.4444,False,medium
Negative,@king k ....ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳು ಕಳ್ಳರೆ.... ಇದ್ದುದರಲ್ಲಿ ಬಿಜೆಪಿ ಯವರು ಕಡಿಮೆ ಕಳ್ಳರು....,10,0.8,0.0,0.8,0.2,0.4,False,medium
Mixed feelings,@king k 9880823640.....ಇದು ನನ್ನ ಫೋನ್ ನಂಬರ್....ನಿನ್ನ ಎಲ್ಲ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವೆ,9,0.7778,0.0,0.7778,0.2222,0.4444,False,medium
Negative,@king k ...ಕರ್ನಾಟಕದಲ್ಲಿ ಅತ್ಯಂತ ಭ್ರಷ್ಟರು ಅಂದ್ರೆ ಜೆಡಿಸ್...ಮತ್ತು ಕಾಂಗ್ರೆಸ್.....ಇವರು ನಿಪುಣರು ...ಹಾಗಾಗಿ ಇವರು ತಪ್ಪಿಸಿಕೊಳ್ತಾರೆ......ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳದೆ ಮಾತಾಡಬೇಡ.....,14,0.8571,0.0,0.8571,0.1429,0.2857,False,medium
Negative,@Dayananda C howda BJP yavaru kadime kallara mate yaddiyuvarappa  yake jailge hogi bandru . 15 minister jailge hogidyake?? nNin first corectagi artha madka first,24,0.0,0.7619,0.7619,0.2381,0.4762,False,medium
Mixed feelings,@Dayananda C sir ivaga hagalla belige call maditini heli. Prashne keltini. Political bittu . Abhirudhi bagge keltini heli.,18,0.0,0.7857,0.7857,0.2143,0.4286,False,medium
Positive,China copy maadi naawu maadbekilla.. jana alli khushyaagilla.. naadre niw helidralli tumba kelsa aagbeku.. bhaaratadalli adella maadodu janakku bekaagalla,19,0.0,0.8421,0.8421,0.1579,0.3158,False,medium
Mixed feelings,Sir u copy dr vivek bindra sir,7,0.0,0.2857,0.2857,0.7143,0.5714,False,medium
Negative,Bro navu arvinda tilkotidivi andre navu avrige yenadru kodbeku dodd dodd channel galige hinde dodd vyakti irtare so skip madade nodi avrigu duddu barli  .,25,0.0,0.7917,0.7917,0.2083,0.4167,False,medium
Positive,@Unity of India  ನಮ್ಮ ದೇಶದ ಹಾ ಪಾರ್ಟಿ ದೇಶ ವನ್ನು ತುಂಡು ತುಂಡು ಹಾಗಿ ಮಾಡ್ತೀನಿ ಅಂತ ಹೇಳ್ತಾರೆ ಇದಕ್ಕಿಂತ ದೊಡ್ಡ ಮಾತು ಬೇಕಾ kanniya  kumar,21,0.8,0.1,0.9,0.1,0.2,False,medium
Mixed feelings,Nija. Never support communist party,5,0.0,0.25,0.25,0.75,0.5,False,medium
Negative,@Avatar 123 but you support corupt political democracy,8,0.0,0.1429,0.1429,0.8571,0.2857,False,medium
Positive,Thumba vishaya galannu thilisi kotri Amar prasad ravare .thank you,10,0.0,0.7778,0.7778,0.2222,0.4444,False,medium
Negative,Brazil ಕಂಪನಿ ಬಂದು 4 ವರ್ಷಕ್ಕೆ  ಬಾಗ್ಲು  ಮುಚ್ಚುತು  ಕಾರಣ ಲೋಕಲ್ accountant ಎರಡು ಕೈ ಯಿಂದ ತಿಂದ,14,0.8462,0.0,0.8462,0.1538,0.3077,False,medium
Positive,Hi....chaina dalli ago product nnu navu madidvi....adre....namma desha davre namage mosa madidru same model nnu chaina kondogi avrege thorise dublicate madbittu dandu...kammi belege elle mariddare....edde karana...navu hinduliyalu....eglu navu...mado ondondu product chaina dinda tharisthidru adre navu automobiles product naavu madthideevi...adre yaaru encarage madalla.....,42,0.0,0.7879,0.7879,0.2121,0.4242,False,medium
Mixed feelings,Navu kuda speed edivi ....makklu uttisodrale ..love madodrale ...,9,0.0,0.7143,0.7143,0.2857,0.5714,False,medium
unknown state,@Dhanik Patel I am not blaming India bro,8,0.0,0.1667,0.1667,0.8333,0.3333,False,medium
Mixed feelings,Modi doing good job for new india,7,0.0,0.1429,0.1429,0.8571,0.2857,False,medium
Mixed feelings,Good information sir but ivattu yako parokshavaģi  China desha vanna hogalida hage ittu adru ade nija  satya yavaglu kahiyagi irutte,20,0.0,0.7895,0.7895,0.2105,0.4211,False,medium
Negative,Bharatadalli skill idru experience illade kelsa kodolla chinadalli nivu helo hage hosa pratibegalige aavkasha kodatre aste vyatyasa china gu namgu,20,0.0,0.85,0.85,0.15,0.3,False,medium
Negative,Namma yalla sarkara nu hage ide bidi..,7,0.0,0.7143,0.7143,0.2857,0.5714,False,medium
Mixed feelings,I forgot prems even is a best song maker,9,0.0,0.1111,0.1111,0.8889,0.2222,False,medium
Mixed feelings,@Sujan Tejashands up ande kai ettu annadukka agutta,8,0.0,0.8571,0.8571,0.1429,0.2857,False,medium
Mixed feelings,@P h Ahamad Bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?,15,0.8462,0.0,0.8462,0.1538,0.3077,False,medium
Negative,Lowde song hesru en helu,5,0.0,0.8,0.8,0.2,0.4,False,medium
Mixed feelings,Legit gaming ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,7,0.7143,0.0,0.7143,0.2857,0.5714,False,medium
Positive,@Madhu Madhu hello bro navu tulunad navru tulu namma matru bashe aste abhimana kannada bashe melu ide,17,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,All industries are going hands up.. 27kke avanu bandaga,9,0.0,0.25,0.25,0.75,0.5,False,medium
Positive,Bro nan kade enda nimg gondhu salam.,7,0.0,0.7143,0.7143,0.2857,0.5714,False,medium
Positive,Damm godd...an song guru...ajnish u made a magic broooo,9,0.0,0.1667,0.1667,0.8333,0.3333,False,medium
Negative,Waiting for hindi nLike .......,5,0.0,0.25,0.25,0.75,0.5,False,medium
Positive,Actually idu idu chanagirodu,4,0.0,0.75,0.75,0.25,0.5,False,medium
Positive,#ಇದು ಚರಿತ್ರೆ ಸ್ರೃಷ್ಟಿಸುವ ಅವತಾರ nBaground music 🤺🤘,7,0.6667,0.1667,0.8333,0.1667,0.3333,False,medium
Positive,That making was osm #ASN 🤩🤩🤩,6,0.0,0.25,0.25,0.75,0.5,False,medium
Positive,Yuddha maadabeku oodabaaradu katukara mundhe Bhagavadgeethe.. Great lines!,8,0.0,0.8333,0.8333,0.1667,0.3333,False,medium
Positive,Idu charitre srushtiso avatara nice,5,0.0,0.8,0.8,0.2,0.4,False,medium
unknown state,Flair gun  ge hondu like,5,0.0,0.2,0.2,0.8,0.4,False,medium
not-Kannada,@VARAPRASAD K K super bro,5,0.0,0.2,0.2,0.8,0.4,False,medium
not-Kannada,Gentlemen full movie linkn,4,0.0,0.25,0.25,0.75,0.5,False,medium
Positive,Full movie upload madri.. Ofter release pls,7,0.0,0.1667,0.1667,0.8333,0.3333,False,medium
Negative,Dislikers r fucking da baas fans,6,0.0,0.1667,0.1667,0.8333,0.3333,False,medium
Positive,Rocking star kadi enda all de best,7,0.0,0.2857,0.2857,0.7143,0.5714,False,medium
not-Kannada,Zinda hai tho deklena,4,0.0,0.75,0.75,0.25,0.5,False,medium
